HF_FNCLTY_MTRAL_RCOGN_NO,PRMS_DT,BSSH_NM,INDUTY_NM,ADDR,APLC_RAWMTRL_NM,FNCLTY_CN,DAY_INTK_CN,IFTKN_ATNT_MATR_CN
2014-55,20141103,(주)자연의힘,식품등 수입판매업,경기도 평택시,오메가-3 지방산 함유 유지,"기억력 개선에 도움을 줄 수 있음
 (생리활성기능 2등급)",DHA와 EPA의 합으로서 0.9 ～ 2 g/일,「건강기능식품 기능성 원료 및 기준․규격  인정에 관한 규정」 제10조제2항에 따라 「건강기능식품의 기준 및 규격」에 고시 예정임
2014-28,20140702,(주)프롬바이오,식품등 수입판매업,제주특별자치도 제주시,와일드망고 종자추출물,"체지방 감소에 도움을 줄 수 있음
(생리활성기능 2등급)",와일드망고 종자추출물로서 300 mg,임산부 및 수유 여성은 섭취에 주의
2017-1,20170331,(주)휴온스,건강기능식품수입업,충청북도 제천시,허니부쉬추출발효분말,자외선에 의한 피부손상으로부터 피부 건강을 유지하는데 도움,허니부쉬추출발효분말로서 400~800mg/일,알레르기 체질이거나 특정질환이 있는 분은 섭취 전 의사와 상담바랍니다.
2014-8,20140219,"에이케이바이오링크 주식회사 (AK Biolink Co.,Ltd)",수입식품등 수입ㆍ판매업,서울특별시 성동구,옥수수배아추출물,피부보습에 도움을 줄 수 있음(생리활성기능 2등급),옥수수배아추출물로서 40~60 mg/일,"1) 영.유아, 임산부와 수유부는 섭취에 주의
2) 알레르기 체질이거나 특정질환이 있는 분은 섭취 전 의사와 상담"
2012-17,20120510,(주)성지코퍼레이션,건강기능식품일반판매업,서울특별시 송파구,밀크씨슬 추출물(Milk Thistle Extract),간 건강에 도움을 줄 수 있음(생리활성기능 2등급),실리마린(Silymarin) 으로서 130 mg/일,"1) 알레르기 반응이 나타나는 경우에는 섭취 중단
2) 설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의"
2007-12,20070829,솔젠트(주),건강기능식품벤처제조업,대전광역시 유성구,피니톨 분말,피니톨은 캐롭빈 포드에서 정제?추출한 원료로서 혈당조절에 도움을 줄 수 있으나 인체시험에서 확인이 필요합니다.,.,피니톨은 당뇨병의 치료 및 예방에 사용될 수 없으므로  당뇨병 치료가 필요한 경우에는 의사와 상담 하에 사용하여야 합니다.
2007-15,20070928,게란티제약(주),건강기능식품전문제조업,충청남도 보령시,바이오게르마늄 효모,면역기능 증진에 도움,바이오게르마늄 효모로서 1.2g,
2019-4,20190408,(주)에치와이 평택공장,건강기능식품전문제조업,경기도 평택시,L. curvatus HY7601와 L. plantarum KY1032의 프로바이오틱스 복합물,,,
2019-5,20190415,주식회사 플루토,건강기능식품벤처제조업,경기도 성남시 수정구,연어이리추출물(DOT™연어핵산),위 점막을 보호하여 위 건강에 도움을 줄 수 있음,연어이리추출물(PRP연어핵산)로서 750mg/일,
2019-6,20190419,한국암웨이(주),수입식품등 수입ㆍ판매업,서울특별시 강남구,루바브뿌리추출물,갱년기 여성건강에 도움을 줄 수 있음,,
